database,keyword,title,authors,publisher,journal,issue,year,link
RISS,컬러 디자인,올바른 영양제 중복 섭취 방법을 위한 패키지디자인제안 :컬러테라피 적용을 중심으로,"서지희,SHIN SANGYUN",한국상품문화디자인학회,2022,상품문화디자인학연구,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9e0e3729454cc1b0e9810257f7042666&keyword=컬러 디자인
RISS,컬러 디자인,퍼스널컬러사계절 이미지에 따른 네일디자인연구,"강문경(Kang Mun Kyung),정윤석(Jung Yun Seok)",휴먼이미지디자인학회,2022,한국휴먼이미지디자인,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=65531eb887c4ca0ab7998d826d417196&keyword=컬러 디자인
RISS,조명 디자인,인공지능 기반 도시공간조명디자인개발 방향에 대한 소고,양정순,한국공간디자인학회,2022,한국공간디자인학회논문집,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e213e230360094c4e9810257f7042666&keyword=조명 디자인
RISS,조명 디자인,건축화조명롯데백화점 동탄점 파사드조명디자인사례,하선덕,한국조명·전기설비학회,2022,조명.전기설비,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ad3521b0d4cdc6c2b36097776a77e665&keyword=조명 디자인
RISS,조명 디자인,[조명설비사례] 모모스커피 영도 로스터리 앤 커피바조명디자인,김지수,한국조명·전기설비학회,2023,조명.전기설비,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=76623f3c6aaab12f47de9c1710b0298d&keyword=조명 디자인
RISS,조명 디자인,바이오필릭조명디자인개발 연구- 거실 스탠드조명의 조형성 중심으로-,"왕페이,윤명한,리우커청,뤄판펑",사단법인 한국브랜드디자인학회,2024,브랜드디자인학연구,2024,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7a989c9a6f71329447de9c1710b0298d&keyword=조명 디자인
RISS,조명 디자인,조명디자인의 제품 조형 언어 기반 생성형 AI 프롬프트 구축 방법 연구,"마성민,김철수",한국조명.전기설비학회,2024,조명·전기설비학회논문지,2024,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e12a87295da2a2474884a65323211ff0&keyword=조명 디자인
RISS,조명 디자인,움직임을 모티브로 한 건축물조명디자인작품 연구,손동훈,한국공간디자인학회,2023,한국공간디자인학회논문집,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9f6d112fef9853197f7a54760bb41745&keyword=조명 디자인
RISS,조명 디자인,해양 친수공간 활성화를 위한 테트라포드 부착형 태양광 LED 경관조명디자인연구,"박성환(Seong Hwan Park),조정형(Joung Hyung Cho)",한국디자인리서치학회,2023,한국디자인리서치,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0835beece7b4a98a47de9c1710b0298d&keyword=조명 디자인
RISS,조명 디자인,친수공간 태양광 LED 경관조명디자인및 방수성능에 관한 실증연구,박성환,한국디자인리서치학회,2024,한국디자인리서치,2024,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bfd5bb0453f5beadb36097776a77e665&keyword=조명 디자인
RISS,조명 디자인,지속가능한 라이프스타일 유도를 위한 스마트 홈조명디자인시나리오 제안: 국내 1인가구를 중심으로,"고명지,이길옥",한국인더스트리얼디자인학회,2023,산업디자인학연구,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=44a6926eafd2df43e9810257f7042666&keyword=조명 디자인
RISS,조명 디자인,알파벳의 조형적 특징을 활용한조명디자인작품연구,손동훈,한국공간디자인학회,2024,한국공간디자인학회논문집,2024,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=3deb92c5c7dd62646aae8a972f9116fb&keyword=조명 디자인
